TimeStamp,XAccel,YAccel,ZAccel
26049,1136,2457,1464
26689,1092,2443,1436
27329,1148,2458,1437
27969,1120,2453,1482
28609,1143,2434,1452
29249,1103,2397,1474
29889,1104,2399,1473
30529,1119,2397,1464
31169,1111,2449,1468
31809,1111,2486,1457
32449,1103,2494,1420
33089,1084,2456,1424
33729,1065,2389,1403
34369,1077,2388,1381
35009,1123,2364,1391
35649,1108,2346,1429
36289,1126,2371,1389
36929,1101,2389,1384
37569,1117,2317,1353
38209,1161,2342,1362
38849,1130,2366,1335
39489,1161,2381,1346
40129,1158,2380,1367
40769,1159,2349,1332
41409,1174,2342,1315
42049,1213,2344,1338
42689,1233,2335,1363
43329,1218,2313,1334
43969,1124,2330,1369
44609,888,2421,1412
45249,844,2450,1309
45889,1026,2417,1438
46529,1234,2416,1477
47169,1195,2390,1578
47809,1038,2456,1551
48449,985,2430,1549
49089,1038,2341,1559
49729,1084,2395,1591
50369,1097,2395,1658
51009,1054,2360,1674
51649,1011,2359,1657
52289,1019,2329,1642
52929,1073,2365,1667
53569,1043,2344,1667
54209,1036,2346,1688
54849,1046,2340,1716
55489,1036,2373,1729
56129,1052,2352,1742
56769,1080,2373,1741
57409,1053,2371,1746
58049,1067,2409,1754
58689,1071,2381,1744
59329,1091,2400,1736
59969,1065,2381,1712
60609,1027,2361,1747
61249,1050,2401,1735
61889,1059,2416,1732
62529,1067,2382,1758
63169,1058,2378,1779
63809,1164,2418,1811
64449,1059,2375,1803
65089,1025,2371,1820
193,1046,2384,1805
833,1053,2399,1796
1473,1013,2410,1797
2113,1010,2415,1807
2753,1052,2417,1772
3393,1070,2383,1754
4033,1092,2408,1785
4673,1059,2407,1783
5313,1032,2368,1757
5953,945,2390,1791
6593,825,2410,1890
7233,796,2483,1884
7873,987,2499,1791
8513,1179,2583,1734
9153,1251,2649,1747
9793,1283,2643,1802
10433,1244,2557,1837
11073,1056,2487,1814
11713,900,2450,1773
12353,896,2438,1790
12993,962,2504,1790
13633,1095,2557,1734
14273,1114,2541,1689
14913,1085,2485,1578
15553,1104,2452,1573
16193,1147,2402,1566
16833,1173,2411,1564
17473,1172,2443,1572
18113,1187,2477,1525
18753,1188,2470,1513
19393,1158,2458,1492
20033,1173,2420,1438
20673,1122,2397,1395
21313,1082,2347,1352
21953,1089,2331,1339
22593,1090,2368,1331
23233,1117,2338,1317
23873,1123,2299,1297
24513,1140,2275,1326
25153,1153,2279,1326
25793,1170,2306,1338
26433,1198,2326,1378
27073,1198,2370,1341
27713,1150,2388,1268
28353,1112,2327,1235
28993,1131,2279,1242
29633,1174,2268,1250
