TimeStamp,XAccel,YAccel,ZAccel
8929,2545,1464,2018
9569,2575,1454,2049
10209,2536,1412,2034
10849,2520,1399,2002
11489,2483,1465,1958
12129,2499,1549,1989
12769,2475,1544,1993
13409,2450,1487,1992
14049,2479,1362,2017
14689,2487,1388,1996
15329,2525,1447,1987
15969,2559,1472,2006
16609,2543,1497,1990
17249,2474,1491,1991
17889,2472,1424,1980
18529,2476,1419,1982
19169,2483,1432,1991
19809,2497,1494,1982
20449,2529,1519,2021
21089,2495,1512,1963
21729,2474,1481,1979
22369,2492,1473,1990
23009,2497,1473,1995
23649,2536,1433,1983
24289,2526,1433,1991
24929,2525,1397,2016
25569,2511,1391,2009
26209,2493,1384,1977
26849,2515,1440,1989
27489,2489,1467,2009
28129,2476,1458,2029
28769,2515,1479,2010
29409,2490,1469,1994
30049,2502,1418,1972
30689,2480,1395,1982
31329,2460,1450,1970
31969,2468,1477,1988
32609,2509,1509,1979
33249,2470,1455,1990
33889,2490,1418,1980
34529,2479,1411,1987
35169,2551,1417,1981
35809,2538,1409,1971
36449,2506,1434,1963
37089,2487,1438,1953
37729,2498,1453,1969
38369,2519,1435,1995
39009,2539,1410,1980
39649,2519,1428,1986
40289,2467,1415,1964
40929,2459,1435,1989
41569,2491,1474,1965
42209,2507,1453,1987
42849,2505,1439,1983
43489,2456,1413,1969
44129,2459,1390,1970
44769,2463,1437,1978
45409,2493,1449,1963
46049,2505,1425,1999
46689,2503,1408,2000
47329,2491,1403,1992
47969,2509,1433,1950
48609,2492,1451,1935
49249,2469,1452,1952
49889,2482,1473,1973
50529,2489,1474,1963
51169,2511,1452,1967
51809,2472,1411,1982
52449,2480,1428,1982
53089,2481,1432,1979
53729,2496,1437,1941
54369,2478,1476,1971
55009,2480,1468,1966
