TimeStamp,XAccel,YAccel,ZAccel
64097,2143,3053,1797
64737,2130,3076,1803
65377,2132,3085,1797
481,2134,3069,1810
1121,2137,3068,1797
1761,2139,3073,1798
2401,2127,3076,1778
3041,2112,3081,1776
3681,2145,3072,1763
4321,2125,3089,1737
4961,2135,3118,1763
5601,2121,3092,1832
6241,2179,3071,1878
6881,2175,3019,1902
7521,2188,3000,1875
8161,2171,3013,1832
8801,2092,3053,1802
9441,2049,3051,1734
10081,2047,3051,1677
10721,2073,3068,1762
11361,2106,3106,1797
12001,2182,3143,1769
12641,2167,3099,1781
13281,2136,3122,1801
13921,2135,3129,1783
14561,2118,3077,1790
15201,2104,3063,1812
15841,2075,3055,1807
16481,2044,3054,1818
17121,2077,3054,1808
17761,2106,3061,1827
18401,2122,3071,1803
19041,2145,3069,1797
19681,2127,3079,1800
20321,2103,3085,1816
20961,2085,3085,1806
21601,2089,3101,1826
22241,2071,3090,1783
22881,2099,3088,1795
23521,2106,3085,1787
24161,2116,3098,1793
24801,2105,3090,1758
25441,2112,3055,1786
26081,2087,3080,1801
26721,2094,3081,1803
27361,2111,3068,1819
28001,2132,3080,1799
28641,2161,3079,1802
29281,2157,3054,1801
29921,2169,3047,1802
30561,2183,3043,1809
31201,2167,3071,1774
31841,2122,3055,1794
32481,2112,3053,1781
33121,2089,3065,1805
33761,2086,3076,1773
34401,2083,3085,1748
35041,2099,3073,1754
35681,2101,3096,1762
36321,2109,3056,1787
36961,2140,3075,1782
37601,2134,3067,1795
38241,2125,3079,1781
38881,2136,3101,1764
39521,2153,3096,1731
40161,2151,3102,1763
40801,2147,3071,1749
41441,2137,3062,1747
42081,2115,3062,1729
42721,2131,3092,1719
43361,2118,3117,1719
44001,2145,3122,1724
44641,2150,3115,1663
45281,2168,3096,1652
45921,2151,3137,1618
46561,2124,3164,1576
47201,2089,3211,1514
47841,2094,3172,1528
48481,2087,3123,1483
49121,2097,3003,1483
49761,2128,2993,1507
50401,2097,2973,1492
51041,2112,3019,1530
51681,2142,2974,1513
52321,2147,2986,1455
52961,2106,2984,1455
53601,2105,2983,1411
54241,2104,2999,1406
54881,2116,3026,1414
55521,2109,3023,1418
56161,2109,2985,1420
56801,2095,2959,1378
57441,2072,2971,1307
58081,2086,2964,1336
58721,2057,2976,1348
59361,2022,2967,1368
60001,2016,2905,1399
60641,2018,2893,1379
61281,2075,2971,1422
61921,2117,3006,1481
62561,2143,3048,1491
63201,2230,3207,1667
63841,2103,3388,1650
64481,1884,3257,1544
65121,2148,2972,1600
225,2201,2923,1670
865,2098,3066,1702
1505,2002,3107,1737
2145,1999,3118,1749
2785,2020,3135,1663
3425,2083,3085,1654
4065,2059,3082,1622
4705,2038,3059,1646
5345,2020,3088,1692
5985,2000,3095,1777
6625,1950,3105,1786
7265,1968,3096,1788
7905,2006,3061,1748
8545,2037,3072,1737
9185,2069,3075,1735
9825,2091,3100,1735
10465,2062,3088,1703
11105,2052,3083,1694
11745,2071,3093,1718
12385,2048,3113,1707
13025,2052,3092,1718
13665,2052,3086,1670
14305,2036,3075,1721
14945,2046,3105,1691
15585,2029,3135,1638
16225,2031,3152,1645
16865,2061,3193,1659
17505,2079,3279,1732
18145,2123,3420,1782
18785,2199,3328,1673
19425,2235,3159,1563
20065,2238,3076,1537
20705,2247,3093,1654
21345,2271,3110,1738
21985,2217,3173,1756
22625,2149,3261,1741
23265,2106,3250,1640
23905,2103,3162,1600
24545,2137,3035,1544
25185,2161,2933,1543
25825,2164,2936,1542
26465,2142,2965,1509
27105,2139,2921,1482
27745,2120,2850,1468
28385,2099,2845,1452
29025,2096,2866,1378
29665,2163,2945,1451
30305,2207,2954,1447
30945,2173,2997,1396
31585,2056,3025,1291
32225,1993,2977,1166
32865,1979,2888,1033
33505,1943,2895,1175
34145,1986,2884,1277
34785,2024,2829,1345
35425,2021,2794,1400
36065,2014,2755,1377
36705,2030,2781,1350
37345,2123,3096,1311
37985,2217,3623,1283
38625,2105,3803,1301
39265,2022,3018,1406
39905,2264,2542,1498
40545,2353,2791,1560
41185,2224,3159,1652
41825,1980,3200,1650
42465,1887,3105,1635
43105,1916,3050,1676
43745,1985,3073,1678
44385,2060,3062,1601
45025,2063,3069,1615
45665,2087,3085,1597
46305,2059,3100,1654
46945,1972,3143,1747
47585,1927,3102,1775
48225,1965,3058,1737
48865,2025,3026,1706
49505,2029,3053,1727
50145,2065,3087,1702
50785,2088,3114,1732
51425,2068,3078,1713
52065,2073,3093,1702
52705,2097,3084,1734
53345,2109,3105,1687
53985,2076,3083,1738
54625,2069,3123,1711
55265,2071,3138,1722
55905,2008,3163,1724
56545,2006,3136,1666
57185,1965,3138,1641
57825,2001,3154,1570
58465,2017,3132,1534
59105,2015,3189,1440
59745,1954,3233,1443
60385,1998,3349,1839
61025,2112,3318,1980
61665,2170,3304,1569
62305,2359,3097,1680
62945,2421,2939,1622
63585,2206,3085,1763
64225,1917,3296,1572
64865,1942,3340,1657
65505,2092,3245,1558
609,2104,2990,1510
1249,2135,2842,1484
1889,2125,2840,1505
2529,2136,2865,1482
3169,2160,2867,1500
3809,2122,2859,1499
