TimeStamp,XAccel,YAccel,ZAccel
56897,1883,2327,2687
57537,1906,2316,2705
58177,1920,2328,2670
58817,1926,2331,2697
59457,1927,2355,2682
60097,1916,2367,2662
60737,1909,2334,2679
61377,1918,2305,2709
62017,1905,2348,2702
62657,1895,2349,2680
63297,1914,2328,2672
63937,1898,2341,2669
64577,1897,2333,2719
65217,1896,2345,2697
321,1915,2361,2677
961,1929,2319,2678
1601,1911,2352,2663
2241,1900,2361,2669
2881,1911,2382,2684
3521,1903,2353,2692
4161,1890,2365,2698
4801,1895,2393,2717
5441,1918,2374,2697
6081,1938,2359,2671
6721,1904,2386,2671
7361,1896,2376,2669
8001,1902,2357,2697
8641,1911,2387,2687
9281,1913,2373,2707
9921,1912,2375,2677
10561,1941,2359,2681
11201,1952,2365,2675
11841,1943,2365,2698
12481,1933,2357,2698
13121,1944,2352,2693
13761,1936,2353,2696
14401,1933,2369,2679
15041,1930,2354,2693
15681,1939,2359,2700
16321,1946,2341,2699
16961,1950,2363,2681
17601,1966,2379,2708
18241,1934,2396,2681
18881,1934,2392,2683
19521,1955,2373,2670
20161,1941,2386,2680
20801,1984,2369,2699
21441,1950,2413,2704
22081,1959,2379,2699
22721,1960,2402,2655
23361,1987,2384,2611
24001,1980,2389,2653
24641,1943,2385,2662
25281,1966,2375,2672
25921,1955,2365,2676
26561,1955,2345,2656
27201,1944,2333,2671
27841,1931,2318,2699
28481,1941,2321,2691
29121,1973,2281,2681
29761,1995,2289,2667
30401,2012,2307,2663
31041,1998,2304,2720
31681,2007,2296,2752
32321,2010,2319,2749
32961,2032,2324,2738
33601,2055,2339,2683
34241,2031,2331,2709
34881,2009,2319,2701
35521,2031,2326,2671
36161,2045,2284,2685
36801,2005,2281,2695
37441,1959,2281,2704
38081,1976,2280,2701
38721,1966,2272,2718
39361,1966,2271,2718
40001,1982,2270,2690
40641,1996,2263,2654
41281,2007,2257,2663
41921,1956,2298,2649
42561,1925,2295,2703
43201,1927,2282,2675
43841,1961,2228,2689
44481,1969,2268,2709
45121,1930,2265,2702
45761,1902,2269,2710
46401,1926,2290,2687
47041,1949,2261,2698
47681,1975,2261,2731
48321,1947,2321,2770
48961,1869,2359,2816
49601,1839,2339,2882
50241,1878,2294,2889
50881,1932,2217,2832
51521,1967,2223,2796
52161,2018,2254,2711
52801,2032,2290,2668
53441,1995,2317,2658
54081,1983,2295,2669
54721,2032,2256,2684
55361,2032,2243,2653
56001,2035,2231,2622
56641,2028,2280,2551
57281,1993,2298,2549
57921,1971,2303,2594
58561,1906,2321,2646
59201,1877,2330,2725
59841,1829,2344,2735
60481,1833,2320,2693
61121,1863,2333,2669
61761,1916,2334,2667
62401,1950,2319,2630
63041,1959,2285,2600
63681,1941,2299,2602
64321,1945,2254,2669
64961,1996,2236,2773
65,1967,2279,2793
705,1865,2367,2795
1345,1881,2326,2839
1985,1952,2253,2718
2625,1970,2243,2650
3265,1930,2260,2744
3905,1853,2263,2806
4545,1850,2203,2859
5185,1867,2183,2858
5825,1851,2196,2792
6465,1819,2184,2787
7105,1827,2191,2747
7745,1860,2200,2683
8385,1915,2178,2617
9025,1939,2162,2601
9665,1931,2192,2599
10305,1897,2221,2575
10945,1866,2213,2611
11585,1843,2238,2635
12225,1883,2245,2611
12865,1922,2255,2593
13505,1932,2260,2639
14145,1916,2251,2694
14785,1882,2266,2711
15425,1881,2247,2667
16065,1893,2221,2745
16705,1955,2199,2748
17345,2003,2241,2752
17985,1954,2270,2799
18625,1894,2403,2767
19265,1935,2342,2773
19905,1986,2316,2727
20545,1990,2303,2727
21185,1957,2307,2768
21825,1868,2374,2776
22465,1818,2365,2786
23105,1837,2325,2792
23745,1857,2335,2792
24385,1879,2323,2781
25025,1886,2350,2759
25665,1889,2304,2746
26305,1953,2244,2694
26945,2003,2235,2640
27585,1973,2238,2587
28225,1955,2299,2561
28865,1913,2296,2593
29505,1911,2346,2592
30145,1883,2347,2627
30785,1875,2361,2597
31425,1888,2358,2648
32065,1850,2339,2686
32705,1878,2369,2639
33345,1914,2351,2612
33985,1926,2356,2622
34625,1904,2351,2631
35265,1852,2306,2656
35905,1954,2218,2768
36545,1989,2245,2799
37185,1896,2338,2848
37825,1875,2298,2918
38465,1949,2234,2833
39105,1995,2206,2786
39745,1928,2203,2811
40385,1876,2263,2764
41025,1976,2212,2745
41665,1931,2248,2779
42305,1845,2265,2836
42945,1817,2297,2826
43585,1877,2317,2719
44225,1966,2283,2635
44865,2009,2247,2594
45505,1968,2252,2607
46145,1956,2243,2598
46785,1936,2263,2574
47425,1954,2206,2630
48065,1966,2207,2583
48705,1982,2215,2558
49345,1975,2223,2577
49985,1913,2212,2604
50625,1938,2221,2608
51265,1967,2188,2671
51905,1979,2168,2690
52545,1876,2252,2750
53185,1783,2235,2969
53825,1945,2163,3077
54465,1999,2357,2795
55105,1967,2371,2729
55745,1912,2371,2812
56385,1879,2293,2790
57025,1795,2265,2893
57665,1754,2381,2821
58305,1779,2450,2720
58945,1803,2443,2627
59585,1722,2435,2478
60225,1943,2299,2047
60865,1988,2214,1704
61505,1944,2182,1705
62145,1952,2202,1721
62785,1966,2194,1687
63425,1953,2198,1693
64065,1943,2185,1731
64705,1972,2188,1693
65345,1952,2198,1731
449,1965,2191,1739
1089,1954,2192,1710
1729,1959,2200,1706
2369,1921,2203,1725
3009,1951,2211,1703
3649,1963,2199,1728
4289,1945,2198,1723
4929,1955,2190,1717
5569,1931,2212,1717
6209,1929,2203,1751
6849,1932,2213,1744
7489,1948,2193,1728
8129,24,4064,1646
8769,4058,35,4065
9409,3144,2902,2205
10049,23,13,3450
10689,1963,2560,1895
11329,2210,2331,2098
11969,2857,2023,1393
12609,4075,1827,2069
13249,3788,4087,1302
13889,3429,3902,1711
14529,3927,4089,1576
15169,3623,4086,1351
15809,3323,3919,1464
16449,3228,4016,1629
17089,3378,3483,1377
17729,3027,3359,1213
18369,2893,3094,1322
19009,2765,2884,1534
19649,2557,2779,1765
20289,2503,2792,1817
20929,2432,2815,1674
21569,2424,2896,1526
22209,2451,2818,1426
22849,2467,2717,1562
23489,2464,2754,1558
24129,2540,2860,1551
24769,2549,2905,1454
25409,2581,2874,1410
26049,2553,2787,1464
26689,2551,2871,1516
27329,2625,2882,1498
27969,2694,2926,1537
28609,2756,2849,1463
29249,2690,2850,1456
29889,2647,2843,1467
30529,2610,2864,1495
31169,2614,2953,1472
31809,2657,2921,1483
32449,2629,2828,1511
33089,2625,2818,1526
33729,2641,2814,1495
34369,2633,2865,1521
35009,2647,2875,1549
35649,2644,2885,1498
36289,2649,2911,1510
36929,2669,2852,1473
37569,2682,2905,1500
38209,2689,2914,1518
38849,2675,2884,1543
39489,2664,2842,1524
40129,2638,2859,1500
40769,2628,2839,1456
41409,2646,2860,1495
42049,2654,2836,1468
42689,2688,2855,1542
43329,2655,2839,1537
43969,2648,2849,1507
44609,2649,2871,1489
45249,2637,2850,1545
45889,2651,2869,1555
46529,2651,2865,1527
47169,2645,2850,1468
47809,2666,2863,1477
48449,2675,2873,1499
49089,2681,2873,1536
49729,2702,2880,1513
50369,2680,2856,1499
51009,2656,2827,1499
51649,2664,2833,1552
52289,2669,2855,1526
52929,2676,2915,1493
53569,2699,2921,1498
54209,2715,2873,1468
54849,2694,2845,1484
55489,2680,2803,1490
56129,2651,2825,1471
56769,2646,2804,1513
57409,2653,2835,1515
58049,2658,2837,1529
58689,2654,2835,1457
59329,2658,2819,1481
59969,2672,2802,1539
60609,2683,2839,1535
61249,2695,2850,1522
61889,2676,2858,1476
62529,2681,2865,1453
63169,2669,2846,1479
63809,2700,2823,1506
64449,2692,2811,1508
65089,2659,2808,1492
193,2655,2831,1479
833,2675,2829,1503
1473,2693,2852,1518
2113,2665,2815,1521
2753,2676,2832,1453
3393,2663,2822,1470
4033,2694,2825,1482
4673,2692,2821,1433
5313,2703,2799,1486
5953,2722,2820,1529
6593,2680,2839,1489
7233,2703,2857,1491
7873,2709,2852,1497
8513,2721,2872,1502
9153,2691,2872,1515
9793,2696,2837,1489
10433,2631,2843,1485
11073,2659,2840,1519
11713,2629,2794,1506
12353,2674,2811,1547
