TimeStamp,XAccel,YAccel,ZAccel
32033,2850,2570,1861
32673,2766,2479,1869
33313,2723,2409,1829
33953,2689,2375,1871
34593,2697,2405,1924
35233,2747,2408,2022
35873,2767,2382,2104
36513,2769,2335,2082
37153,2739,2340,2011
37793,2704,2442,1985
38433,2671,2483,2097
39073,2723,2457,2206
39713,2751,2382,2300
40353,2712,2270,2239
40993,2688,2203,2116
41633,2740,2208,1965
42273,2768,2294,1990
42913,2768,2279,2077
43553,2617,2319,1970
44193,2513,2638,1968
44833,2899,2707,2092
45473,3679,2665,2256
46113,3505,2085,1854
46753,2573,2433,1675
47393,2241,2751,1774
48033,2907,2462,1617
48673,3489,2184,1627
49313,3123,2274,1843
49953,2859,2413,1812
50593,2829,2547,1806
51233,2945,2463,1686
51873,3002,2391,1613
52513,3016,2371,1638
53153,3002,2390,1636
53793,2920,2411,1635
54433,2879,2430,1623
55073,2875,2492,1603
55713,2878,2509,1643
56353,2815,2504,1649
56993,2823,2502,1661
57633,2872,2471,1663
58273,2924,2462,1672
58913,2872,2414,1709
59553,2880,2382,1664
60193,2906,2374,1687
60833,2947,2358,1657
61473,2978,2387,1698
62113,2919,2385,1767
62753,2894,2372,1797
63393,3017,2393,1850
64033,3055,2386,1783
64673,3182,2447,1655
65313,3170,2632,2003
417,3007,2701,1847
1057,3210,2797,1506
1697,3184,2861,1510
2337,3293,2645,1657
2977,3247,2366,1971
3617,3112,2441,1977
4257,2870,2495,1791
4897,2760,2497,1786
5537,2696,2555,1760
6177,2643,2522,1849
6817,2599,2461,1890
7457,2500,2456,1931
8097,2455,2456,1887
8737,2445,2430,1917
9377,2502,2465,2006
10017,2605,2451,2060
10657,2709,2340,2093
11297,2870,2169,2225
11937,2929,2102,2347
12577,2870,2191,2222
13217,2760,2346,2129
13857,2633,2455,2176
14497,2600,2335,2141
15137,2433,2325,1811
15777,2846,2519,2355
16417,3712,2258,2083
17057,3493,2263,1569
17697,2559,2649,2126
18337,2453,2675,1835
18977,2984,2286,1533
19617,3067,2422,1633
20257,3005,2514,1742
