TimeStamp,XAccel,YAccel,ZAccel
14913,994,2228,1994
15553,1004,2235,2006
16193,954,2226,1971
16833,956,2199,1980
17473,954,2233,1938
18113,966,2246,1965
18753,987,2264,1947
19393,999,2263,1949
20033,1003,2240,1955
20673,930,2233,1963
21313,934,2219,1980
21953,904,2209,1942
22593,916,2188,1895
23233,1002,2209,1950
23873,1046,2228,1998
24513,1044,2215,2029
25153,1027,2215,2019
25793,986,2203,2031
26433,991,2216,2050
27073,1010,2235,2089
27713,1073,2286,2067
28353,1038,2270,2064
28993,997,2258,2064
29633,981,2234,2084
30273,997,2264,2064
30913,985,2252,2080
31553,961,2243,2113
32193,978,2232,2097
32833,1002,2206,2101
33473,1048,2244,2107
34113,1063,2246,2113
34753,1037,2265,2147
35393,1017,2226,2164
36033,1024,2223,2193
36673,1061,2256,2147
37313,1051,2234,2147
37953,1043,2263,2090
38593,1085,2268,2119
39233,1069,2274,2125
39873,1051,2253,2134
40513,1054,2263,2119
41153,1030,2225,2064
41793,1016,2270,2066
42433,1083,2306,2159
43073,1090,2353,2133
43713,977,2310,2089
44353,914,2265,2095
44993,907,2295,2100
45633,912,2263,2062
46273,865,2279,2031
46913,900,2280,2021
47553,975,2308,2068
48193,1025,2316,2114
48833,998,2330,2124
49473,949,2309,2100
50113,953,2271,2098
50753,973,2258,2081
51393,993,2247,2077
52033,1073,2282,2076
52673,1068,2298,2095
53313,1062,2298,2081
53953,1073,2271,2098
54593,1025,2246,2107
55233,1052,2249,2137
55873,1027,2249,2161
56513,968,2170,2248
57153,914,2107,2301
57793,922,2143,2301
58433,989,2194,2229
59073,1024,2262,2132
59713,1038,2265,2127
60353,1035,2210,2097
60993,1003,2177,2139
61633,1035,2217,2183
62273,1192,2298,2347
62913,1256,2297,2357
63553,857,2027,2315
64193,641,1884,2334
64833,891,1967,2496
65473,1147,2142,2477
577,1354,2317,2338
1217,1455,2403,2347
1857,1351,2306,2350
2497,1162,2243,2349
3137,1185,2283,2288
3777,1288,2353,2244
4417,1330,2356,2257
5057,1258,2291,2317
5697,1238,2285,2346
6337,1306,2298,2332
6977,1330,2289,2359
7617,1305,2318,2367
8257,1365,2342,2359
8897,1369,2349,2360
9537,1372,2343,2303
10177,1377,2340,2375
10817,1311,2283,2420
11457,1255,2262,2435
12097,1304,2282,2445
12737,1347,2336,2375
13377,1339,2322,2395
14017,1224,2225,2549
14657,1230,2265,2641
15297,1359,2364,2565
15937,1299,2414,2467
16577,1168,2361,2413
17217,1106,2301,2435
17857,1057,2245,2503
18497,1171,2272,2543
19137,1313,2361,2512
19777,1388,2408,2456
20417,1336,2391,2482
21057,1203,2278,2507
21697,1152,2242,2485
22337,1140,2283,2436
22977,1242,2326,2414
23617,1255,2324,2383
24257,1267,2318,2398
24897,1314,2290,2406
25537,1363,2314,2380
26177,1396,2344,2371
26817,1352,2321,2370
27457,1375,2305,2342
28097,1379,2323,2386
28737,1331,2315,2408
29377,1341,2336,2405
30017,1404,2363,2391
30657,1366,2356,2359
31297,1279,2291,2466
31937,1220,2250,2464
32577,1239,2287,2431
33217,1305,2325,2493
33857,1587,2489,2642
34497,1482,2292,2596
35137,1042,2121,2555
35777,1009,2143,2523
36417,1282,2281,2481
37057,1507,2355,2481
37697,1546,2292,2619
38337,1388,2206,2730
38977,1309,2190,2677
39617,1359,2214,2617
40257,1299,2219,2579
40897,1303,2214,2553
41537,1337,2224,2517
42177,1437,2268,2452
42817,1520,2312,2456
43457,1506,2319,2447
44097,1506,2294,2454
44737,1458,2235,2496
45377,1439,2205,2565
46017,1463,2207,2551
46657,1461,2223,2526
47297,1453,2244,2547
47937,1476,2235,2551
48577,1430,2175,2607
49217,1423,2157,2603
49857,1432,2191,2567
50497,1446,2254,2570
51137,1455,2331,2602
51777,1462,2377,2611
52417,1395,2303,2532
53057,1155,2159,2500
53697,1116,2069,2599
54337,1266,2089,2684
54977,1393,2237,2596
55617,1417,2283,2520
56257,1367,2229,2573
56897,1313,2185,2614
57537,1347,2170,2615
58177,1386,2213,2564
58817,1355,2230,2526
59457,1353,2220,2532
60097,1375,2179,2523
60737,1395,2179,2542
61377,1455,2188,2541
62017,1505,2209,2459
62657,1502,2243,2449
63297,1475,2218,2420
63937,1430,2200,2460
64577,1429,2212,2436
65217,1422,2191,2453
321,1422,2176,2562
961,1459,2184,2576
1601,1452,2162,2592
2241,1419,2167,2520
2881,1328,2161,2513
3521,1333,2151,2558
4161,1416,2166,2663
4801,1569,2236,2756
5441,1395,2124,2649
6081,1139,2093,2585
6721,1303,2220,2571
7361,1559,2349,2467
8001,1576,2306,2565
8641,1405,2171,2736
9281,1250,2098,2774
9921,1444,2187,2690
10561,1476,2226,2608
